dia;mes;año ;hora costo marginal;
10;1;2015;6;0
10;1;2015;7;0
10;1;2015;8;0
10;1;2015;9;18.7
10;1;2015;10;76.77
10;1;2015;11;75.51
10;1;2015;12;86.5
10;1;2015;13;76.21
10;1;2015;14;76.71
10;1;2015;15;74.48
10;1;2015;16;0
10;1;2015;17;0
10;1;2015;18;0
10;1;2015;19;56.74
10;1;2015;20;76.33
10;1;2015;21;37.01
10;1;2015;22;17.71
10;1;2015;23;0
10;1;2015;24;0
11;1;2015;1;0
11;1;2015;2;0
11;1;2015;3;0
11;1;2015;4;0
11;1;2015;5;0
11;1;2015;6;0
11;1;2015;7;0
11;1;2015;8;0
11;1;2015;9;0
11;1;2015;10;0
11;1;2015;11;74.39
11;1;2015;12;75.25
11;1;2015;13;73.89
11;1;2015;14;74.83
11;1;2015;15;75.69
11;1;2015;16;71.69
11;1;2015;17;73.65
11;1;2015;18;0
11;1;2015;19;75.8
11;1;2015;20;74.39
11;1;2015;21;76.26
11;1;2015;22;72.49
11;1;2015;23;74.04
11;1;2015;24;35.78
12;1;2015;1;0
12;1;2015;2;0
12;1;2015;3;0
12;1;2015;4;0
12;1;2015;5;0
12;1;2015;6;0
12;1;2015;7;0
12;1;2015;8;89.21
12;1;2015;9;100.9
12;1;2015;10;161.37
12;1;2015;11;161.38
12;1;2015;12;161.4
12;1;2015;13;161.4
12;1;2015;14;161.44
12;1;2015;15;161.34
12;1;2015;16;165.76
12;1;2015;17;101.17
12;1;2015;18;88.52
12;1;2015;19;89.83
12;1;2015;20;89.83
12;1;2015;21;88.36
12;1;2015;22;83.93
12;1;2015;23;75.01
12;1;2015;24;61.48
13;1;2015;1;75.08
13;1;2015;2;71.67
13;1;2015;3;72.54
13;1;2015;4;52.71
13;1;2015;5;0
13;1;2015;6;74.97
13;1;2015;7;73.8
13;1;2015;8;89.83
13;1;2015;9;161.31
13;1;2015;10;161.44
13;1;2015;11;168.83
13;1;2015;12;168.83
13;1;2015;13;168.8
13;1;2015;14;163.01
13;1;2015;15;161.44
13;1;2015;16;168.8
13;1;2015;17;161.41
13;1;2015;18;161.32
13;1;2015;19;161.34
13;1;2015;20;101.17
13;1;2015;21;101.17
13;1;2015;22;100.9
13;1;2015;23;81.54
13;1;2015;24;75.24
14;1;2015;1;76.46
14;1;2015;2;74.05
14;1;2015;3;74.88
14;1;2015;4;71.86
14;1;2015;5;75.34
14;1;2015;6;75.14
14;1;2015;7;76.5
14;1;2015;8;91.12
14;1;2015;9;161.34
14;1;2015;10;161.37
14;1;2015;11;161.37
14;1;2015;12;168.8
14;1;2015;13;167.98
14;1;2015;14;168.8
14;1;2015;15;168.8
14;1;2015;16;168.83
14;1;2015;17;161.34
14;1;2015;18;169.48
14;1;2015;19;101.17
14;1;2015;20;101.17
14;1;2015;21;101.17
14;1;2015;22;100.9
14;1;2015;23;100.9
14;1;2015;24;82.36
15;1;2015;1;82.83
15;1;2015;2;75.77
15;1;2015;3;75.33
15;1;2015;4;74.98
15;1;2015;5;75.19
15;1;2015;6;76.01
15;1;2015;7;75.33
15;1;2015;8;84.49
15;1;2015;9;164.28
15;1;2015;10;161.37
15;1;2015;11;168.8
15;1;2015;12;168.83
15;1;2015;13;168.8
15;1;2015;14;161.44
15;1;2015;15;161.44
15;1;2015;16;169.55
15;1;2015;17;165.13
15;1;2015;18;161.32
15;1;2015;19;151.01
15;1;2015;20;163.76
15;1;2015;21;101.17
15;1;2015;22;100.9
15;1;2015;23;89.78
15;1;2015;24;84.02
